DATE_TIME,TOTAL_SUSPENDED_PARTICULATE
01/01/2018 00:00:00, 
01/01/2018 00:00:00,42
01/01/2018 00:01:00,41
01/01/2018 00:02:00,42.9000015259
01/01/2018 00:03:00,41
01/01/2018 00:04:00,42.4000015259
01/01/2018 00:05:00,42.2999992371
01/01/2018 00:06:00,40.9000015259
01/01/2018 00:07:00,41.5
01/01/2018 00:08:00,42.5
01/01/2018 00:09:00,40.7000007629
01/01/2018 00:10:00,40.7000007629
01/01/2018 00:11:00,40.7000007629
01/01/2018 00:12:00,42.5
01/01/2018 00:13:00,40.2000007629
01/01/2018 00:14:00,41.2000007629
01/01/2018 00:15:00,40.2999992371
01/01/2018 00:16:00,40.2000007629
01/01/2018 00:17:00,40.2000007629
01/01/2018 00:18:00,42.7000007629
01/01/2018 00:19:00,41
01/01/2018 00:20:00,43.5
01/01/2018 00:21:00,40.4000015259
01/01/2018 00:22:00,42.7999992371
01/01/2018 00:23:00,39.5
01/01/2018 00:24:00,41.5
01/01/2018 00:25:00,41.7999992371
01/01/2018 00:26:00,39.7000007629
01/01/2018 00:27:00,39.0999984741
01/01/2018 00:28:00,41.0999984741
01/01/2018 00:29:00,40.4000015259
01/01/2018 00:30:00,39.2000007629
01/01/2018 00:31:00,39.7000007629
01/01/2018 00:32:00,39.5
01/01/2018 00:33:00,39.7999992371
01/01/2018 00:34:00,40.4000015259
01/01/2018 00:35:00,42.4000015259
01/01/2018 00:36:00,39.9000015259
01/01/2018 00:37:00,40.5
01/01/2018 00:38:00,41.7999992371
01/01/2018 00:39:00,42
01/01/2018 00:40:00,40.5999984741
01/01/2018 00:41:00,41
01/01/2018 00:42:00,41.2000007629
01/01/2018 00:43:00,42.5
01/01/2018 00:44:00,40.2999992371
01/01/2018 00:45:00,39.9000015259
01/01/2018 00:46:00,43.0999984741
01/01/2018 00:47:00,40.5999984741
01/01/2018 00:48:00,45.4000015259
01/01/2018 00:49:00,41.5999984741
01/01/2018 00:50:00,42.9000015259
01/01/2018 00:51:00,41.7000007629
01/01/2018 00:52:00,42.2999992371
01/01/2018 00:53:00,41.2999992371
01/01/2018 00:54:00,41.2999992371
01/01/2018 00:55:00,41
01/01/2018 00:56:00,48
01/01/2018 00:57:00,39.7000007629
01/01/2018 00:58:00,40.2999992371
01/01/2018 00:59:00,39.2000007629
01/01/2018 01:00:00,39.7999992371
01/01/2018 01:01:00,40.7000007629
01/01/2018 01:02:00,39.5
01/01/2018 01:03:00,39.5
01/01/2018 01:04:00,39.5999984741
01/01/2018 01:05:00,39.9000015259
01/01/2018 01:06:00,39.2999992371
01/01/2018 01:07:00,39.2000007629
01/01/2018 01:08:00,39
01/01/2018 01:09:00,38.2999992371
01/01/2018 01:10:00,38.5
01/01/2018 01:11:00,37.7999992371
01/01/2018 01:12:00,38.5999984741
01/01/2018 01:13:00,38.9000015259
01/01/2018 01:14:00,37.7999992371
01/01/2018 01:15:00,36.7000007629
01/01/2018 01:16:00,37.0999984741
01/01/2018 01:17:00,37.9000015259
01/01/2018 01:18:00,37.7000007629
01/01/2018 01:19:00,36.7999992371
01/01/2018 01:20:00,37.7999992371
01/01/2018 01:21:00,36.5
01/01/2018 01:22:00,41.9000015259
01/01/2018 01:23:00,36.9000015259
01/01/2018 01:24:00,36.7999992371
01/01/2018 01:25:00,36.0999984741
01/01/2018 01:26:00,36.2000007629
01/01/2018 01:27:00,35.0999984741
01/01/2018 01:28:00,34.5999984741
01/01/2018 01:29:00,35.5999984741
01/01/2018 01:30:00,34.4000015259
01/01/2018 01:31:00,35.4000015259
01/01/2018 01:32:00,35.2999992371
01/01/2018 01:33:00,35.2000007629
01/01/2018 01:34:00,35.5
01/01/2018 01:35:00,34.5
01/01/2018 01:36:00,34.2999992371
01/01/2018 01:37:00,35.5
01/01/2018 01:38:00,35.0999984741
01/01/2018 01:39:00,35.2999992371
01/01/2018 01:40:00,34.9000015259
01/01/2018 01:41:00,34.5999984741
01/01/2018 01:42:00,36.2000007629
01/01/2018 01:43:00,33.5999984741
01/01/2018 01:44:00,35.4000015259
01/01/2018 01:45:00,34.7999992371
01/01/2018 01:46:00,34.4000015259
01/01/2018 01:47:00,33.7999992371
01/01/2018 01:48:00,33.7999992371
01/01/2018 01:49:00,34.5999984741
01/01/2018 01:50:00,34.2999992371
01/01/2018 01:51:00,32.7999992371
01/01/2018 01:52:00,34.4000015259
01/01/2018 01:53:00,33.2999992371
01/01/2018 01:54:00,34.5999984741
01/01/2018 01:55:00,32.7999992371
01/01/2018 01:56:00,34
01/01/2018 01:57:00,34
01/01/2018 01:58:00,33.7999992371
01/01/2018 01:59:00,33.7000007629
01/01/2018 02:00:00,32.7999992371
01/01/2018 02:01:00,33.7999992371
01/01/2018 02:02:00,39.5999984741
01/01/2018 02:03:00,33.7999992371
01/01/2018 02:04:00,32.5999984741
01/01/2018 02:05:00,34
01/01/2018 02:06:00,37.5999984741
01/01/2018 02:07:00,32.5999984741
01/01/2018 02:08:00,32.9000015259
01/01/2018 02:09:00,32.7000007629
01/01/2018 02:10:00,33.4000015259
01/01/2018 02:11:00,33.5999984741
01/01/2018 02:12:00,33.5
01/01/2018 02:13:00,33.0999984741
01/01/2018 02:14:00,32.5999984741
01/01/2018 02:15:00,31.7000007629
01/01/2018 02:16:00,32.7000007629
01/01/2018 02:17:00,33.7999992371
01/01/2018 02:18:00,33.0999984741
01/01/2018 02:19:00,31.8999996185
01/01/2018 02:20:00,33.0999984741
01/01/2018 02:21:00,33.0999984741
01/01/2018 02:22:00,35
01/01/2018 02:23:00,31.8999996185
01/01/2018 02:24:00,31.6000003815
01/01/2018 02:25:00,32.5999984741
01/01/2018 02:26:00,31.3999996185
01/01/2018 02:27:00,31.8999996185
01/01/2018 02:28:00,31.7999992371
01/01/2018 02:29:00,31.6000003815
01/01/2018 02:30:00,31.1000003815
01/01/2018 02:31:00,32.7999992371
01/01/2018 02:32:00,32.0999984741
01/01/2018 02:33:00,31.7000007629
01/01/2018 02:34:00,32.0999984741
01/01/2018 02:35:00,31.3999996185
01/01/2018 02:36:00,31.1000003815
01/01/2018 02:37:00,31.2000007629
01/01/2018 02:38:00,31.7999992371
01/01/2018 02:39:00,31.2999992371
01/01/2018 02:40:00,31.2999992371
01/01/2018 02:41:00,30.8999996185
01/01/2018 02:42:00,31
01/01/2018 02:43:00,30.2000007629
01/01/2018 02:44:00,30.7000007629
01/01/2018 02:45:00,30.7999992371
01/01/2018 02:46:00,30.2999992371
01/01/2018 02:47:00,29.8999996185
01/01/2018 02:48:00,30.2999992371
01/01/2018 02:49:00,29.3999996185
01/01/2018 02:50:00,30.6000003815
01/01/2018 02:51:00,31.5
01/01/2018 02:52:00,30.1000003815
01/01/2018 02:53:00,31.2999992371
01/01/2018 02:54:00,30.7000007629
01/01/2018 02:55:00,31
01/01/2018 02:56:00,36.5
01/01/2018 02:57:00,30.8999996185
01/01/2018 02:58:00,30.6000003815
01/01/2018 02:59:00,31.6000003815
01/01/2018 03:00:00,36.0999984741
01/01/2018 03:01:00,30.2999992371
01/01/2018 03:02:00,31.1000003815
01/01/2018 03:03:00,30.3999996185
01/01/2018 03:04:00,31.1000003815
01/01/2018 03:05:00,30.2000007629
01/01/2018 03:06:00,30.1000003815
01/01/2018 03:07:00,30.3999996185
01/01/2018 03:08:00,30.8999996185
01/01/2018 03:09:00,31.7000007629
01/01/2018 03:10:00,31.7999992371
01/01/2018 03:11:00,31.5
01/01/2018 03:12:00,33.2999992371
01/01/2018 03:13:00,29.7999992371
01/01/2018 03:14:00,30.3999996185
01/01/2018 03:15:00,32.7999992371
01/01/2018 03:16:00,31.8999996185
01/01/2018 03:17:00,32.0999984741
01/01/2018 03:18:00,32.5
01/01/2018 03:19:00,32.0999984741
01/01/2018 03:20:00,33.9000015259
01/01/2018 03:21:00,31.2999992371
01/01/2018 03:22:00,31.3999996185
01/01/2018 03:23:00,32.4000015259
01/01/2018 03:24:00,31.6000003815
01/01/2018 03:25:00,31.5
01/01/2018 03:26:00,30.5
