datetime, Max, Min, Average
11/08/2016 22, 64.8000030518, 51.7000007629, 59.18333371480001, 
11/08/2016 23, 43.7999992371, 30.7000007629, 34.06666692096667, 
11/09/2016 00, 45, 33.5999984741, 37.799999237066665, 
11/09/2016 01, 41.2999992371, 37.2000007629, 39.283333460499996, 
11/09/2016 02, 54.2999992371, 35.7999992371, 43.26666641235, 
11/09/2016 03, 56.5999984741, 43.4000015259, 48.48333358763333, 
11/09/2016 04, 43.5999984741, 37.7000007629, 39.88333320615, 
11/09/2016 05, 62.2000007629, 49.7999992371, 53.73333358765, 
11/09/2016 06, 61.7999992371, 45, 50.78333409628333, 
11/09/2016 07, 89.1999969482, 60, 79.68333307901666, 
11/09/2016 08, 93.5999984741, 76.1999969482, 85.26666641235, 
11/09/2016 09, 96.5, 77.5999984741, 87.13333384196666, 
11/09/2016 10, 74.5999984741, 59.5999984741, 65.61666552225, 
11/09/2016 11, 59.7000007629, 28.7000007629, 50.16666730241667, 
11/09/2016 12, 37.2000007629, 25.7999992371, 32.0333334605, 
11/09/2016 13, 31.5, 17.7999992371, 22.41666666668333, 
11/09/2016 14, 32.9000015259, 21.5, 25.516666730266667, 
11/09/2016 15, 26.7999992371, 21, 22.983333587649998, 
11/09/2016 16, 27.3999996185, 23.7999992371, 25.683333079033332, 
11/09/2016 17, 38.7000007629, 25.7999992371, 31.699999809266668, 
11/09/2016 18, 64.6999969482, 37.0999984741, 49.26666577654999, 
11/09/2016 19, 63.4000015259, 36.4000015259, 52.03333473206666, 
11/09/2016 20, 84, 66.9000015259, 74.29999923705, 
11/09/2016 21, 73.6999969482, 66.6999969482, 69.7833328247, 
11/09/2016 22, 68.4000015259, 36.7999992371, 49.80000050863333, 
11/09/2016 23, 55.9000015259, 46.0999984741, 50.666666030883334, 
11/10/2016 00, 70.1999969482, 46.4000015259, 54.033332824716666, 
11/10/2016 01, 38, 33.5999984741, 35.38333320616667, 
11/10/2016 02, 40.5, 35.7999992371, 37.65000025433333, 
11/10/2016 03, 45.5, 35.2999992371, 40.399999618533336, 
11/10/2016 04, 48.5, 33.7000007629, 40.166666030883334, 
11/10/2016 05, 75.5999984741, 46.5, 56.599999745683334, 
11/10/2016 06, 77.8000030518, 57, 70.06666628518333, 
11/10/2016 07, 93.3000030518, 72, 85.54999923705002, 
11/10/2016 08, 99.0999984741, 79.5, 89.05000050863333, 
11/10/2016 09, 93.1999969482, 73.3000030518, 86.06666564940001, 
11/10/2016 10, 66.4000015259, 57.0999984741, 61.54999923705, 
11/10/2016 11, 57.2999992371, 33.2999992371, 41.13333320618333, 
11/10/2016 12, 37.2999992371, 24.6000003815, 31.3166666031, 
11/10/2016 13, 32.7000007629, 23.8999996185, 27.38333352405, 
11/10/2016 14, 31.8999996185, 21.7000007629, 25.399999618533332, 
11/10/2016 15, 22, 19.8999996185, 21, 
11/10/2016 16, 28.7000007629, 23.7000007629, 26.116666793816666, 
11/10/2016 17, 37.9000015259, 25, 31.783333778383334, 
11/10/2016 18, 50.5999984741, 31.7999992371, 36.5666662852, 
11/10/2016 19, 58.2999992371, 34.7999992371, 46.849999745699996, 
11/10/2016 20, 60.5, 51.7999992371, 54.93333371481666, 
11/10/2016 21, 71.5, 50.4000015259, 61.63333384198334, 
11/10/2016 22, 67.5, 58.7000007629, 62.5, 
11/10/2016 23, 59.0999984741, 47.7999992371, 53.033333460499996, 
11/11/2016 00, 48.9000015259, 31.6000003815, 38.133333524066664, 
11/11/2016 01, 36.2000007629, 29.2999992371, 31.949999809250002, 
11/11/2016 02, 45.7000007629, 29.7999992371, 35.76666641235, 
11/11/2016 03, 50.4000015259, 32.5999984741, 38.333333333316666, 
11/11/2016 04, 48.9000015259, 30.7000007629, 34.683333396900004, 
11/11/2016 05, 55.9000015259, 34.2000007629, 43.649999618533336, 
11/11/2016 06, 71.4000015259, 46.7000007629, 61.583333969116666, 
11/11/2016 07, 103.699996948, 65.4000015259, 82.23333231603333, 
11/11/2016 08, 83.0999984741, 73.6999969482, 79.58333333333333, 
11/11/2016 09, 100.800003052, 82.1999969482, 92.96666717533333, 
11/11/2016 10, 66.5999984741, 54.0999984741, 59.033332188900005, 
11/11/2016 11, 45.7999992371, 33.7999992371, 39.716666539516666, 
11/11/2016 12, 24.5, 12.6000003815, 20.350000381466668, 
11/11/2016 13, 40.2000007629, 30.5, 34.41666666665, 
11/11/2016 14, 31.2000007629, 21.3999996185, 25.050000190733332, 
11/11/2016 15, 24.2000007629, 18.7000007629, 21.1500002543, 
11/11/2016 16, 32.0999984741, 20.1000003815, 24.366666793816666, 
11/11/2016 17, 45.5999984741, 20.5, 34.0666662852, 
11/11/2016 18, 45, 31.6000003815, 39.56666723888333, 
11/11/2016 19, 78.4000015259, 38.5, 63.61666679381667, 
11/11/2016 20, 79.5, 67.9000015259, 76.23333358765, 
11/11/2016 21, 85.1999969482, 54.5999984741, 65.34999974568333, 
11/11/2016 22, 60.0999984741, 39.2000007629, 50.450000127133336, 
11/11/2016 23, 54.4000015259, 41.2000007629, 45.26666641235, 
11/12/2016 00, 52.5, 41, 45.73333358765, 
11/12/2016 01, 48.4000015259, 42.5, 45.216667175299996, 
11/12/2016 02, 48.4000015259, 32.7999992371, 43.06666692098333, 
11/12/2016 03, 37.0999984741, 32.5999984741, 34.733332951849995, 
11/12/2016 04, 38.2000007629, 33.7000007629, 36.36666615803333, 
11/12/2016 05, 55.7999992371, 39.7999992371, 47.116666158066664, 
11/12/2016 06, 85.9000015259, 65.0999984741, 73.15000025431667, 
11/12/2016 07, 94.3000030518, 69.1999969482, 81.59999974568333, 
11/12/2016 08, 89.6999969482, 62.4000015259, 78.31666564940001, 
11/12/2016 09, 90.9000015259, 70.1999969482, 79.19999949136667, 
11/12/2016 10, 92.4000015259, 42.7000007629, 74.61666806539999, 
11/12/2016 11, 56.7999992371, 35.2999992371, 50.083333333333336, 
11/12/2016 12, 96.4000015259, 14.6999998093, 35.133333365149994, 
11/12/2016 13, 23.2999992371, 17.1000003815, 19.416666666666668, 
11/12/2016 14, 21.6000003815, 16.6000003815, 19.333333651233332, 
11/12/2016 15, 23.2999992371, 16.2000007629, 19.700000127166664, 
11/12/2016 16, 30, 20.6000003815, 26.483333269766664, 
11/12/2016 17, 49.5, 31.7999992371, 37.61666615805, 
11/12/2016 18, 44.0999984741, 39.5999984741, 42.099999745666665, 
11/12/2016 19, 60.2000007629, 33, 47.783333460483334, 
11/12/2016 20, 71.6999969482, 62.4000015259, 66.51666641235, 
11/12/2016 21, 85.3000030518, 70.3000030518, 77.75000127158334, 
11/12/2016 22, 70.6999969482, 55.2999992371, 63.9166660309, 
11/12/2016 23, 64.4000015259, 61.9000015259, 62.783333460499996, 
11/13/2016 00, 69.3000030518, 44.2999992371, 56.599999745699996, 
11/13/2016 01, 55.5999984741, 47, 51.24999936421667, 
11/13/2016 02, 51.5999984741, 44.2999992371, 49.25, 
11/13/2016 03, 51.7999992371, 41.7000007629, 46.25000000001666, 
11/13/2016 04, 37.2000007629, 31.1000003815, 34.9000005722, 
11/13/2016 05, 51.0999984741, 39.5999984741, 42.79999923705, 
11/13/2016 06, 75.6999969482, 42.2999992371, 53.7499993642, 
11/13/2016 07, 85.5999984741, 73.3000030518, 79.15000025431667, 
11/13/2016 08, 81.6999969482, 75.0999984741, 78.29999923705, 
11/13/2016 09, 67.4000015259, 56.7999992371, 62.399999618533336, 
11/13/2016 10, 69.5999984741, 53.5, 61.233332951866664, 
11/13/2016 11, 50.7000007629, 31.7999992371, 42.81666628518334, 
11/13/2016 12, 34.4000015259, 28.2999992371, 31.050000190733332, 
11/13/2016 13, 23.7999992371, 20.2000007629, 21.833333333333332, 
11/13/2016 14, 26.6000003815, 18.7000007629, 21.533333778366668, 
11/13/2016 15, 22.2999992371, 20.2999992371, 21.483333269750002, 
11/13/2016 16, 36.7999992371, 20.2000007629, 26.733332951866668, 
11/13/2016 17, 38, 29.6000003815, 34.29999955495, 
11/13/2016 18, 40.4000015259, 32.7999992371, 36.966666539516666, 
11/13/2016 19, 67.4000015259, 29.6000003815, 48.15000057221666, 
11/13/2016 20, 87.3000030518, 65.3000030518, 72.73333358765, 
11/13/2016 21, 91.5, 71, 76.68333435059999, 
11/13/2016 22, 69.8000030518, 63.7000007629, 67.84000015258, 
11/13/2016 23, 71.9000015259, 57.5, 63.349999745683334, 
11/14/2016 00, 62.7999992371, 51.0999984741, 56.783332824716666, 
11/14/2016 01, 63.9000015259, 48, 53.966666539516666, 
11/14/2016 02, 48.7000007629, 36.7000007629, 43.283333460483334, 
11/14/2016 03, 44.0999984741, 36.5, 39.5, 
11/14/2016 04, 59.2000007629, 44, 48.950000127133336, 
11/14/2016 05, 90.1999969482, 52.5, 62.84000015257999, 
11/14/2016 06, 114.599998474, 60.4000015259, 90.0800003052, 
11/14/2016 07, 99.4000015259, 88.6999969482, 93.98333358765, 
11/14/2016 08, 118.800003052, 105.5, 114.150001526, 
11/14/2016 09, 105.599998474, 62.7999992371, 85.95000012713332, 
11/14/2016 10, 58.7999992371, 42.5999984741, 48.01666577656667, 
11/14/2016 11, 54, 37, 46.93333307901667, 
11/14/2016 12, 64.3000030518, 51.2999992371, 59.05000050863333, 
11/14/2016 13, 45.5999984741, 26.5, 30.7166665395, 
11/14/2016 14, 21.7000007629, 14.3000001907, 19.116666952766668, 
11/14/2016 15, 22.7999992371, 18.5, 21.483333269750002, 
11/14/2016 16, 30.7000007629, 23.2999992371, 26.183333396916666, 
11/14/2016 17, 71.5, 33.5, 58.400000254316666, 
11/14/2016 18, 71.8000030518, 53.2999992371, 59.516667683916666, 
11/14/2016 19, 106.099998474, 89.6999969482, 98.76666514073334, 
11/14/2016 20, 120.300003052, 90.0999984741, 110.01666641236666, 
11/14/2016 21, 118.800003052, 81.8000030518, 106.7833340963, 
11/14/2016 22, 79, 53.7999992371, 66.98333358766666, 
11/14/2016 23, 76.4000015259, 60.5999984741, 69.63333257038333, 
11/15/2016 00, 78.6999969482, 60.2000007629, 68.81666628518333, 
11/15/2016 01, 51.9000015259, 40.9000015259, 46.51666704815, 
11/15/2016 02, 44.7999992371, 39.4000015259, 42.0333334605, 
11/15/2016 03, 50.2999992371, 45.4000015259, 46.916666666683334, 
11/15/2016 04, 41.0999984741, 37, 39.11999969482, 
11/15/2016 05, 73.3000030518, 40.5, 59.38333447775, 
11/15/2016 06, 102.699996948, 76, 88.06666692098332, 
11/15/2016 07, 120.800003052, 97.5, 108.26666641229998, 
11/15/2016 08, 113.400001526, 87, 97.96666717531666, 
11/15/2016 09, 86.5999984741, 77.4000015259, 81.28333409628333, 
11/15/2016 10, 83.3000030518, 64.4000015259, 76.5, 
11/15/2016 11, 73.0999984741, 56.5999984741, 63.16666666665, 
11/15/2016 12, 57.7999992371, 41, 50.349999427825, 
11/15/2016 13, 65.9000015259, 56.2000007629, 61.31666755676667, 
11/15/2016 14, 60.7999992371, 42.2000007629, 53.666666666666664, 
11/15/2016 15, 47.0999984741, 40.0999984741, 42.76666577656667, 
11/15/2016 16, 52.4000015259, 43, 47.55000050863333, 
11/15/2016 17, 60, 42.0999984741, 48.8166662852, 
11/15/2016 18, 100, 53.2999992371, 67.43333307901666, 
11/15/2016 19, 87.5, 72.8000030518, 79.91666666666667, 
11/15/2016 20, 107, 76, 89.93333307901666, 
11/15/2016 21, 85.6999969482, 66, 79.29999923705, 
11/15/2016 22, 81.6999969482, 66.6999969482, 73.53333155311667, 
11/15/2016 23, 72.1999969482, 66.5999984741, 70.51666641235, 
11/16/2016 00, 77.5, 66.8000030518, 70.9666671753, 
11/16/2016 01, 76.9000015259, 55.9000015259, 65.81666628518333, 
11/16/2016 02, 57.7999992371, 47.0999984741, 53.283332824716666, 
11/16/2016 03, 47.0999984741, 40.9000015259, 42.666666666666664, 
11/16/2016 04, 52.0999984741, 44.9000015259, 48.733332951866664, 
11/16/2016 05, 108.900001526, 51.5, 80.0999997457, 
11/16/2016 06, 114.300003052, 74.1999969482, 91.2166671753, 
11/16/2016 07, 107.900001526, 90.3000030518, 100.9000002543, 
11/16/2016 08, 115, 87.0999984741, 100.01666768396666, 
11/16/2016 09, 113, 76.1999969482, 97.81666564941666, 
11/16/2016 10, 76.5, 62.9000015259, 70.7166671753, 
11/16/2016 11, 63.4000015259, 49.0999984741, 55.38333320616667, 
11/16/2016 15, 45, 41.7999992371, 43.366666158066664, 
11/16/2016 16, 45.2999992371, 36.9000015259, 41.33333333335, 
11/16/2016 17, 49.5, 43.7000007629, 47.20000012715, 
11/16/2016 18, 73.1999969482, 44.7999992371, 55.93333244323333, 
11/16/2016 19, 345.5, 87.6999969482, 142.74999872836665, 
11/16/2016 20, 126.900001526, 92.0999984741, 111.16666793834999, 
11/16/2016 21, 114.400001526, 99.0999984741, 107.03999938962002, 
11/16/2016 22, 96.6999969482, 85, 89.2833328247, 
11/16/2016 23, 93.0999984741, 68.4000015259, 75.63333257038333, 
11/17/2016 00, 81, 68.5, 73.81666692098334, 
11/17/2016 01, 74.9000015259, 55.0999984741, 62.966665903733336, 
11/17/2016 02, 68.1999969482, 58.2000007629, 61.53333218891666, 
11/17/2016 03, 57, 51.5999984741, 55.06666692098333, 
11/17/2016 04, 59.0999984741, 50.5999984741, 54.76666577656667, 
11/17/2016 05, 73.5, 54.5, 61.780000305179996, 
11/17/2016 06, 106.300003052, 72, 82.95000076298332, 
11/17/2016 07, 142.100006104, 82.9000015259, 113.69999949133334, 
11/17/2016 08, 125.599998474, 102.599998474, 116.08333333333333, 
11/17/2016 09, 115.599998474, 59.2000007629, 82.41666603081667, 
11/17/2016 10, 65.1999969482, 53.2999992371, 59.21666526793334, 
11/17/2016 11, 71.8000030518, 51.0999984741, 63.83333460491667, 
11/17/2016 12, 54.2999992371, 39.4000015259, 47.599999745699996, 
11/17/2016 13, 49, 39.7999992371, 43.86666679383333, 
11/17/2016 14, 35.4000015259, 26.8999996185, 31.220000076300003, 
11/17/2016 15, 39.5999984741, 30.6000003815, 34.98333326975, 
11/17/2016 16, 49.2000007629, 40.0999984741, 44.699999491350006, 
11/17/2016 17, 58.5999984741, 42.9000015259, 48.666666666666664, 
11/17/2016 18, 57.7999992371, 50.5, 53.849999745699996, 
11/17/2016 19, 75, 47.9000015259, 68.20000076295, 
11/17/2016 20, 90.6999969482, 69.4000015259, 81.21666590371666, 
11/17/2016 21, 121.300003052, 85.0999984741, 97.03333282471665, 
11/17/2016 22, 91, 64.5, 75.18333307901666, 
11/17/2016 23, 68.8000030518, 59, 63.216666539516666, 
11/18/2016 00, 65.1999969482, 51.7000007629, 59.59999974566667, 
11/18/2016 01, 57.4000015259, 41.2999992371, 50.29999987285, 
11/18/2016 02, 47.9000015259, 38.2999992371, 41.63333384196667, 
