datetime, Max, Min, Average
11/01/2016 00, , , , 
11/27/2016 14, 36, 32.5999984741, 34.431999969488004, 
11/27/2016 15, 36.2999992371, 33.2999992371, 34.39666684468501, 
11/27/2016 16, 38.5, 33.7999992371, 36.66333325704167, 
11/27/2016 17, 42.2000007629, 37.2000007629, 39.93666680653334, 
11/27/2016 18, 44.5999984741, 41.2999992371, 43.083333269756665, 
11/27/2016 19, 47.5999984741, 43.9000015259, 46.15333315531333, 
11/27/2016 20, 48.2999992371, 45.5, 46.90166657765499, 
11/27/2016 21, 48.9000015259, 44.5999984741, 46.288333447780005, 
11/27/2016 22, 48.9000015259, 43.5, 44.65000000000834, 
11/27/2016 23, 46.2000007629, 44.2000007629, 45.118333435066674, 
11/28/2016 00, 48, 41.2999992371, 43.07833321889335, 
11/28/2016 01, 42.7999992371, 38.9000015259, 40.67500019073499, 
11/28/2016 02, 39.7999992371, 37.0999984741, 38.48666648865669, 
11/28/2016 03, 37.9000015259, 34.0999984741, 36.08269229302116, 
11/28/2016 09, 38.5, 36.9000015259, 37.80000004014736, 
11/28/2016 10, 66.1999969482, 34, 38.32833353678333, 
11/28/2016 11, 38.5999984741, 30.5, 34.59999987283665, 
11/28/2016 12, 32.5, 23.6000003815, 27.48166656494334, 
11/28/2016 13, 26.3999996185, 20.7000007629, 23.099999968214995, 
11/28/2016 14, 28.8999996185, 21.5, 25.096666622161667, 
11/28/2016 15, 34.2999992371, 27.7999992371, 31.203333346044992, 
11/28/2016 16, 38.9000015259, 33.9000015259, 36.561666870113335, 
11/28/2016 17, 41.5999984741, 36.0999984741, 37.84666678110499, 
11/28/2016 18, 38.7000007629, 35.9000015259, 37.151666641231664, 
11/28/2016 19, 39.0999984741, 36, 37.66833349863834, 
11/28/2016 20, 41.5, 38.2000007629, 40.241666793819995, 
11/28/2016 21, 43.5999984741, 39.5999984741, 40.93833338420668, 
11/28/2016 22, 43.9000015259, 39.2000007629, 41.23666667938499, 
11/28/2016 23, 45.5999984741, 42, 44.19166673024498, 
11/29/2016 00, 45.2000007629, 42.4000015259, 43.41999988555835, 
11/29/2016 01, 49.0999984741, 41.0999984741, 42.81833337148335, 
11/29/2016 02, 42.7999992371, 41.0999984741, 41.97674418604651, 
11/29/2016 09, 49.7000007629, 47.5999984741, 48.89090919493182, 
11/29/2016 10, 49.0999984741, 43.5, 47.07666676839167, 
11/29/2016 11, 46.7000007629, 37.4000015259, 42.10499998729001, 
11/29/2016 12, 40.7000007629, 24.8999996185, 36.29833335875833, 
11/29/2016 13, 24.2999992371, 14.5, 19.633928588462503, 
11/29/2016 14, 30.7000007629, 12.1999998093, 23.287930998305175, 
11/29/2016 15, 32.2999992371, 24.7999992371, 27.594999917348332, 
11/29/2016 16, 34, 27.3999996185, 30.27833340963167, 
11/29/2016 17, 48.2000007629, 27.6000003815, 36.48666664758999, 
11/29/2016 18, 49.2999992371, 41.7000007629, 45.65833333333334, 
11/29/2016 19, 56.2999992371, 42.5999984741, 50.55166638691835, 
11/29/2016 20, 64.4000015259, 39.4000015259, 53.21499996186167, 
11/29/2016 21, 56.9000015259, 37.7000007629, 41.65762736433728, 
11/29/2016 22, 56.4000015259, 37.7999992371, 47.91333357493333, 
11/29/2016 23, 47.4000015259, 37.2999992371, 43.12666670481666, 
11/30/2016 00, 45.0999984741, 35.5999984741, 39.38166669210168, 
11/30/2016 01, 48.7000007629, 33.2000007629, 41.800000190729996, 
11/30/2016 02, 44, 33.0999984741, 37.03833293914499, 
11/30/2016 03, 50.5999984741, 36.5999984741, 41.237288006276266, 
11/30/2016 04, 58.7000007629, 47.5, 50.06166680653666, 
11/30/2016 05, 56.5, 45.9000015259, 51.26111115348888, 
11/30/2016 09, 88.6999969482, -999, 25.27368404990527, 
11/30/2016 10, 101.599998474, 86.3000030518, 93.69833361308, 
11/30/2016 11, 104.599998474, 72.5999984741, 80.37999992370332, 
11/30/2016 12, 72.4000015259, 21.3999996185, 46.46166671116831, 
11/30/2016 13, 31.8999996185, 17.8999996185, 21.334210546389475, 
11/30/2016 15, 28.8999996185, 22, 24.309090874409094, 
11/30/2016 16, 23.6000003815, 19, 21.07833331426666, 
11/30/2016 17, 27.7999992371, 21, 24.74333324432667, 
11/30/2016 18, 21.2999992371, 14.5, 18.203333234785, 
11/30/2016 19, 18.8999996185, 14.3000001907, 16.818333260219998, 
11/30/2016 20, 52.2000007629, 18.1000003815, 28.506666501370002, 
11/30/2016 21, 73.0999984741, 17.7000007629, 29.233333460490005, 
11/30/2016 22, 26.2999992371, 17.6000003815, 21.873333422334994, 
11/30/2016 23, 25.8999996185, 24.8999996185, 25.379999796539998, 
12/01/2016 03, 79.9000015259, -999, -101.73333358765, 
12/01/2016 04, 79.3000030518, 54.2000007629, 65.51666653950834, 
12/01/2016 05, 70.4000015259, 44, 57.00999965667836, 
12/01/2016 06, 45.7999992371, 28.8999996185, 37.938333225255, 
12/01/2016 07, 34.4000015259, 27.2000007629, 30.561666870115005, 
12/01/2016 08, 28.6000003815, 21, 23.679999987286667, 
12/01/2016 09, 39.2999992371, -999, -8.50909083973455, 
12/01/2016 10, 42.2000007629, 27.7999992371, 33.277965965918646, 
12/01/2016 11, 43.4000015259, 37, 38.890000089006676, 
12/01/2016 12, 46.2999992371, 38.5, 42.99772730741137, 
12/01/2016 18, 49.2000007629, 44.7999992371, 46.529032307290315, 
12/01/2016 19, 59.4000015259, 45.2000007629, 48.89333337148168, 
12/01/2016 20, 60.7000007629, 50.9000015259, 55.29000027974164, 
