datetime, Max, Min, Average
01/05/2017 00, 154.199996948, 129.199996948, 139.64666442853337, 
01/05/2017 01, 148.300003052, 144.600006104, 146.33333587666667, 
01/05/2017 02, 110.300003052, 85.9000015259, 97.4857134137143, 
01/05/2017 03, 95.8000030518, 90, 92.50909077037274, 
01/05/2017 04, 110.900001526, 83.3000030518, 91.40000152591666, 
01/05/2017 05, 122.599998474, 101.800003052, 110.40000025433334, 
01/05/2017 06, 167.100006104, 119.300003052, 143.79333343506667, 
01/05/2017 07, 195.5, 148.800003052, 178.862499237, 
01/05/2017 08, 242.100006104, 189.399993896, 207.25, 
01/05/2017 09, 237.399993896, 184.899993896, 198.09375, 
01/05/2017 10, 182.5, 90, 129.77272588552725, 
01/05/2017 11, 91.3000030518, 49.7999992371, 65.72999954224, 
01/05/2017 12, 96.0999984741, 44.4000015259, 60.042857033857146, 
01/05/2017 13, 47.5999984741, 18, 28.281817956409085, 
01/05/2017 14, 53.7000007629, 26.7000007629, 42.58124983310625, 
01/05/2017 15, 87.6999969482, 40.7999992371, 49.8499998092675, 
01/05/2017 16, 99.6999969482, 40.2999992371, 58.69487126668461, 
01/05/2017 17, 393.700012207, 66.4000015259, 107.71315805533945, 
01/05/2017 18, 512, 79.3000030518, 179.6489802769429, 
01/05/2017 19, 317.899993896, 120.800003052, 186.8812503815, 
01/05/2017 20, 137.199996948, 70.5999984741, 88.35, 
01/05/2017 21, 69.9000015259, 60.5, 64.7874994278, 
01/05/2017 22, 68.5999984741, 59.4000015259, 62.123076512253846, 
01/05/2017 23, 55, 47.4000015259, 51.388889312744446, 
01/06/2017 00, 49.7999992371, 46, 47.55217394621739, 
01/06/2017 01, 59, 42, 45.78999938964, 
01/06/2017 02, 44.0999984741, 38.7000007629, 41.54117651546471, 
01/06/2017 03, 62.2999992371, 37.0999984741, 47.99999999998334, 
01/06/2017 04, 103.099998474, 62.4000015259, 81.09333318074, 
01/06/2017 05, 121.699996948, 85, 99.05384650600769, 
01/06/2017 06, 178.399993896, 105.300003052, 140.60714340214287, 
01/06/2017 07, 192.300003052, 146, 169.68888939755556, 
01/06/2017 08, 239.199996948, 163, 182.35999908439993, 
01/06/2017 09, 205.100006104, 119.900001526, 160.03529537435296, 
01/06/2017 10, 108.599998474, 85.6999969482, 95.51666641235555, 
01/06/2017 11, 88, 43.4000015259, 66.09230657723077, 
01/06/2017 12, 391.600006104, 25.8999996185, 52.555000400560004, 
01/06/2017 13, 44.4000015259, 21.8999996185, 28.646153743459628, 
01/06/2017 14, 79.3000030518, 21.2000007629, 33.43333358765001, 
01/06/2017 15, 64.1999969482, 21.5, 31.653333282464995, 
01/06/2017 16, 79.4000015259, 37.2000007629, 45.71818187019546, 
01/06/2017 17, 106.599998474, 53.2000007629, 77.803999710076, 
01/06/2017 18, 138.5, 97.5999984741, 107.25333391829167, 
01/06/2017 19, 193.800003052, 101.599998474, 133.38000005086667, 
01/06/2017 20, 151.399993896, 104.699996948, 125.70333315529999, 
01/06/2017 21, 148.800003052, 87.6999969482, 118.84000027977332, 
01/06/2017 22, 126.900001526, 105.699996948, 115.70500043236665, 
01/06/2017 23, 127.5, 80.4000015259, 98.33166643776669, 
01/07/2017 00, 110.5, 82, 96.75666681926, 
01/07/2017 01, 100.900001526, 67.1999969482, 84.83999977111831, 
01/07/2017 02, 85.1999969482, 56.5999984741, 67.93499978383166, 
01/07/2017 03, 81.8000030518, 63.7000007629, 74.15166670481334, 
01/07/2017 04, 105.900001526, 75.0999984741, 86.32000020345335, 
01/07/2017 05, 115, 91.4000015259, 102.45333340961999, 
