datetime, Max, Min, Average
01/01/2017 00, 116.900001526, 77.8000030518, 90.36333312987666, 
01/01/2017 01, 95.1999969482, 75.4000015259, 81.93666674296165, 
01/01/2017 02, 92.8000030518, 75.3000030518, 81.05666669209835, 
01/01/2017 03, 87.6999969482, 69.8000030518, 78.9383328755633, 
01/01/2017 04, 112.099998474, 68.0999984741, 84.75964971175436, 
01/01/2017 05, 92.0999984741, 76, 82.1949999491367, 
01/01/2017 06, 116.400001526, 81.8000030518, 93.66333338419666, 
01/01/2017 07, 129.899993896, 104.800003052, 115.99666684470004, 
01/01/2017 08, 154.199996948, 119.599998474, 131.12333323160001, 
01/01/2017 09, 144.800003052, 95, 130.83666699730503, 
01/01/2017 10, 102, 94.5999984741, 98.18333371481165, 
01/01/2017 11, 113.599998474, 62.7000007629, 95.14499994913999, 
01/01/2017 12, 59, 44.2999992371, 49.321666653955006, 
01/01/2017 13, 49.7999992371, 31.8999996185, 42.943333307903345, 
01/01/2017 14, 66.6999969482, 43.0999984741, 51.531666437785006, 
01/01/2017 15, 81.8000030518, 64.9000015259, 74.56800079346799, 
01/01/2017 16, 91.1999969482, 81, 84.2949148921593, 
01/01/2017 17, 122.599998474, 82.4000015259, 92.69491538355764, 
01/01/2017 18, 165.899993896, 101, 128.84666570019996, 
01/01/2017 19, 240.5, 168.5, 205.8283325194666, 
01/01/2017 20, 238.800003052, 197.199996948, 223.24166590366667, 
01/01/2017 21, 208.699996948, 187.5, 194.18500086473333, 
01/01/2017 22, 238.800003052, 157.699996948, 199.625000763, 
01/01/2017 23, 154.800003052, 135.800003052, 147.4210531670176, 
01/02/2017 00, 155.100006104, 124.699996948, 138.91833330789999, 
01/02/2017 01, 122.699996948, 99.5, 105.78833351136664, 
01/02/2017 02, 105, 86.1999969482, 97.10833358764499, 
01/02/2017 03, 87.6999969482, 78.0999984741, 82.23833325703829, 
01/02/2017 04, 100, 82.1999969482, 89.66333338419668, 
01/02/2017 05, 115.199996948, 94.8000030518, 103.78666648863, 
01/02/2017 06, 111.699996948, 92.4000015259, 98.22666651408001, 
01/02/2017 07, 127.699996948, 102.900001526, 121.22166646320002, 
01/02/2017 08, 156, 127.900001526, 145.39333279923338, 
01/02/2017 09, 162.600006104, 150.199996948, 157.69666697186668, 
01/02/2017 10, 156.699996948, 129.800003052, 141.69500071213335, 
01/02/2017 11, 172.5, 75.1999969482, 91.04500058493998, 
01/02/2017 12, 196.5, 25.2000007629, 65.05500014622332, 
01/02/2017 13, 206.300003052, 34, 86.53666629788833, 
01/02/2017 14, 37.2999992371, 16.6000003815, 22.026666673034995, 
01/02/2017 15, 31.5, 24.3999996185, 27.46779648733222, 
01/02/2017 16, 66.4000015259, 26.7999992371, 39.13559318801187, 
01/02/2017 17, 61.7000007629, 39.0999984741, 47.77627117350338, 
01/02/2017 18, 74.5, 22.1000003815, 34.633898395606785, 
01/02/2017 19, 25.6000003815, 14.5, 17.33220338013051, 
01/02/2017 20, 23.2999992371, 14.1999998093, 17.979999955496666, 
01/02/2017 21, 22, 13.8000001907, 16.038333368298332, 
01/02/2017 22, 18.7999992371, 11.1000003815, 13.838333304728337, 
01/02/2017 23, 14.6000003815, 11.6000003815, 12.850847470559323, 
01/03/2017 00, 17.3999996185, 14.1000003815, 15.972881300979656, 
01/03/2017 01, 25.5, 16.1000003815, 19.62711861174068, 
01/03/2017 02, 26, 20.1000003815, 23.322034027613554, 
01/03/2017 03, 30, 25.3999996185, 27.51525426315254, 
01/03/2017 04, 56.7999992371, 26.5, 41.70175425212106, 
01/03/2017 05, 64, 47.5, 53.891525268562724, 
01/03/2017 06, 61.5, 51.7000007629, 56.528813507598294, 
01/03/2017 07, 91.9000015259, 61.7999992371, 75.11206883397587, 
01/03/2017 08, 92.8000030518, 78.6999969482, 83.3550001144425, 
01/03/2017 09, 94.0999984741, 66, 76.51206970215861, 
01/03/2017 10, 67.1999969482, 51.5, 59.003636446863624, 
01/03/2017 11, 55.0999984741, 47, 48.85849078196416, 
01/03/2017 12, 51.2999992371, 39.7999992371, 46.60784306245884, 
01/03/2017 13, 39.7999992371, 24.5, 28.332653045657132, 
01/03/2017 14, 28.6000003815, 17.2000007629, 21.54888886345556, 
01/03/2017 15, 20, 14.1000003815, 16.87073174918293, 
01/03/2017 16, 25.7999992371, 13.5, 19.297619093038097, 
